[AdminPanelTrap] 2025-08-27T21:18:05.707856 | IP: 127.0.0.1 | User: admin | Success: True
[AdminPanelTrap] 2025-08-27T21:18:05.708466 | IP: 127.0.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-08-29T13:02:02.310219 | IP: 172.18.0.1 | User: user | Success: False
[AdminPanelTrap] 2025-08-29T13:02:30.864034 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T10:45:12.396230 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T10:45:13.051281 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T10:45:13.203213 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:07:46.078477 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:07:50.634697 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:07:50.794460 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:07:50.963588 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:07:51.116282 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:10:48.085910 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:10:48.315565 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:10:48.465977 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:10:48.584281 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:10:57.880015 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:10:58.196837 | IP: 172.18.0.1 | User: admin | Success: False
[AdminPanelTrap] 2025-09-09T11:10:58.361559 | IP: 172.18.0.1 | User: admin | Success: False
