2025-08-11T13:11:46.637244Z | protocol=FTP | type=ftp | ip=127.0.0.1 | command="USER admin"
2025-08-11T13:18:17.419364Z | protocol=FTP | type=ftp | ip=127.0.0.1 | command="USER admin"
2025-08-11T13:18:17.420270Z | protocol=FTP | type=ftp | ip=127.0.0.1 | command="USER admin"
2025-08-11T13:19:18.138336Z | protocol=FTP | type=ftp | ip=127.0.0.1 | command="PASS 1234"
2025-08-11T13:19:18.145522Z | protocol=FTP | type=ftp | ip=127.0.0.1 | command="PASS 1234"
2025-08-11T13:19:24.970056Z | protocol=FTP | type=ftp | ip=127.0.0.1 | command="LIST"
2025-08-11T13:19:24.971150Z | protocol=FTP | type=ftp | ip=127.0.0.1 | command="LIST"
2025-08-11T13:19:30.826212Z | protocol=FTP | type=ftp | ip=127.0.0.1 | command="HELLO"
2025-08-11T13:19:30.828254Z | protocol=FTP | type=ftp | ip=127.0.0.1 | command="HELLO"
2025-08-12T16:30:01.427572Z | protocol=FTP | type=ftp | ip=192.168.1.5 | command="whoami"
2025-08-12T16:30:12.413562Z | protocol=FTP | type=ftp | ip=192.168.1.5 | command="whoami"
2025-08-12T16:30:13.000936Z | protocol=FTP | type=ftp | ip=192.168.1.5 | command="whoami"
2025-08-12T16:30:13.248447Z | protocol=FTP | type=ftp | ip=192.168.1.5 | command="whoami"
2025-08-12T17:07:59.649142Z | protocol=FTP | type=ftp | ip=192.168.1.5 | command="LIST"
