2025-08-11T12:49:35.408914Z | protocol=HTTP | type=http | ip=127.0.0.1 | method=GET | path=/api/health | status=200 | body=""
2025-08-11T12:50:22.125798Z | protocol=HTTP | type=http | ip=127.0.0.1 | method=GET | path=/ | status=200 | body=""
2025-08-11T12:50:38.901811Z | protocol=HTTP | type=http | ip=127.0.0.1 | method=GET | path=/api/health | status=200 | body=""
2025-08-11T12:50:51.736089Z | protocol=HTTP | type=http | ip=127.0.0.1 | method=POST | path=/login | status=200 | body="user=admin&pass=123456"
2025-08-11T13:20:36.816943Z | protocol=HTTP | type=http | ip=127.0.0.1 | method=GET | path=/ | status=200 | body=""
2025-08-11T13:20:42.597122Z | protocol=HTTP | type=http | ip=127.0.0.1 | method=GET | path=/api/health | status=200 | body=""
2025-08-11T13:21:50.147349Z | protocol=HTTP | type=http | ip=127.0.0.1 | method=POST | path=/login\nuser=admin&pass=123 | status=404 | body=""
2025-08-12T16:29:57.671436Z | protocol=HTTP | type=http | ip=192.168.1.5 | method=GET | path=/ | status=200 | body=""
2025-08-12T17:07:12.136730Z | protocol=HTTP | type=http | ip=192.168.1.5 | method=GET | path=/ | status=200 | body=""
2025-08-13T15:11:49.708357Z | protocol=HTTP | type=http | ip=127.0.0.1 | method=GET | path=/ | status=200 | body=""
2025-08-13T15:45:13.698945Z | protocol=HTTP | type=http | ip=127.0.0.1 | method=GET | path=/ | status=200 | body=""
