2025-08-19T10:26:55.285966Z | protocol=TCP | type=open_ports | ip=10.0.0.9 | input="TEST-OPEN" | banner="Fake Open Port Service Banner"
2025-08-19T10:37:33.727961Z | protocol=TCP | type=open_ports | ip=192.168.1.77 | input="SCAN" | banner="Fake Open Port Service Banner"
2025-08-19T10:49:32.189166Z | protocol=TCP | type=open_ports | ip=192.168.1.77 | input="SCAN" | banner="Fake Open Port Service Banner"
2025-08-20T17:56:03.171650Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="{"port": 22}" | banner="Fake Open Port Service Banner"
2025-08-21T10:58:39.474608Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="{"port": 22}" | banner="Fake Open Port Service Banner"
2025-08-21T10:58:39.527212Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="{"port": 22}" | banner="Fake Open Port Service Banner"
2025-08-21T10:58:46.804102Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="port: 22" | banner="Fake Open Port Service Banner"
2025-08-21T11:12:56.666831Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 22" | banner="Fake Open Port Service Banner"
2025-08-21T11:13:23.653400Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 22" | banner="Fake Open Port Service Banner"
2025-08-21T11:14:39.825183Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 22" | banner="Fake Open Port Service Banner"
2025-08-21T11:15:01.742488Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 22" | banner="Fake Open Port Service Banner"
2025-08-21T11:18:34.620324Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="{}" | banner="Fake Open Port Service Banner"
2025-08-21T11:19:13.682821Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 24" | banner="Fake Open Port Service Banner"
2025-08-21T11:45:00.130127Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 24" | banner="Fake Open Port Service Banner"
2025-08-26T08:40:21.860563Z | protocol=TCP | type=open_ports | ip=192.168.1.77 | input="Port: 22" | banner="Fake Open Port Service Banner"
2025-08-26T08:40:35.658478Z | protocol=TCP | type=open_ports | ip=192.168.1.77 | input="nmap -sV 80" | banner="Fake Open Port Service Banner"
2025-08-26T09:20:05.115101Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 22" | banner="Fake Open Port Service Banner"
2025-08-26T09:21:42.377782Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 80" | banner="Fake Open Port Service Banner"
2025-08-26T09:21:53.604774Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 3306" | banner="Fake Open Port Service Banner"
2025-08-26T09:22:02.706485Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="port=443 (nmap detected)" | banner="detected nmap scan"
2025-08-26T09:22:02.707429Z | protocol=TCP | type=open_ports | ip=127.0.0.1 | input="Port: 443" | banner="Fake Open Port Service Banner"
